date,ticker,close,open,high,low,volume,sentiment_avg,sentiment_sum,polarity_ratio,news_volume,return_t,ma_7,volatility_7,target_next_return
2020-04-28,MSFT,162.861,168.4,168.476,162.463,35859414.861842,-0.017778322,-1.8133888,0.43036264,102.0,-0.02441055254708402,165.27014285714284,0.025836636775483885,0.044989285341487495
2020-04-29,MSFT,170.188,166.133,170.401,164.853,53473739.746987,-0.021304836,-2.0026546,0.42300048,94.0,0.044989285341487495,165.59799999999998,0.03143742363749515,0.009930194843349671
2020-04-30,MSFT,171.878,172.636,173.029,169.025,56173460.943033,0.20207314,40.414627,0.81918156,200.0,0.009930194843349671,167.15814285714285,0.0248476236353173,-0.02579736790048759
2020-05-01,MSFT,167.444,168.604,171.329,166.896,41049478.270399,0.039270755,6.24405,0.6180354,159.0,-0.02579736790048759,167.305,0.025386377541761256,0.024366355318793165
2020-05-04,MSFT,171.524,167.365,171.681,166.689,31668150.470008,-0.024525609,-1.0546012,0.4228234,43.0,0.024366355318793165,168.32214285714284,0.025949843806782148,0.010768172384039598
2020-05-05,MSFT,173.371,173.234,176.134,172.541,38410219.673625,-0.05282414,-6.76149,0.2910171,128.0,0.010768172384039598,169.17171428571427,0.025519098253155615,0.009805561483754444
2020-05-06,MSFT,175.071,174.622,176.671,174.212,33509920.323473,0.016693737,2.6209168,0.60532033,157.0,0.009805561483754444,170.33385714285714,0.025290518403621662,0.0058090717480336895
2020-05-07,MSFT,176.088,176.642,177.015,175.108,29523564.925527,-0.0057503292,-1.345577,0.44970247,234.0,0.0058090717480336895,172.22342857142857,0.021277414313730467,0.005979964563172846
2020-05-08,MSFT,177.141,177.425,177.445,175.851,32230946.328285,0.00782163,1.0324551,0.52674747,132.0,0.005979964563172846,173.21671428571426,0.015280224932675106,0.01097995382209671
2020-05-11,MSFT,179.086,175.647,179.836,175.363,32210117.7737,-0.007838442,-0.53301406,0.41338417,68.0,0.01097995382209671,174.24642857142857,0.01533215064670025,-0.0225869135499146
2020-05-12,MSFT,175.041,179.143,179.376,174.834,33404506.992341,-0.04768903,-6.056507,0.19148636,127.0,-0.0225869135499146,175.3317142857143,0.014231400934275617,-0.015065041904468113
2020-05-13,MSFT,172.404,175.079,176.526,169.327,46618265.288473,-0.035133544,-4.6024942,0.3141088,131.0,-0.015065041904468113,175.45742857142858,0.013751757425993166,0.004298044128906664
2020-05-14,MSFT,173.145,170.284,173.304,168.486,43659675.79158,-0.03999359,-3.1594937,0.30340776,79.0,0.004298044128906664,175.42514285714287,0.013176521263695173,0.01450807126974496
2020-05-15,MSFT,175.657,171.729,179.396,169.767,48598142.055138,-0.014750446,-1.3127897,0.41823825,89.0,0.01450807126974496,175.50885714285712,0.013868113388743351,0.009672259004764872
2020-05-18,MSFT,177.356,178.157,178.586,176.438,36812316.114997,-0.0009327243,-0.028914452,0.49626523,31.0,0.009672259004764872,175.69,0.01418504151064435,-0.006991587541441913
2020-05-19,MSFT,176.116,177.474,178.958,175.978,27941998.431659,-0.019976836,-2.3572667,0.3636799,118.0,-0.006991587541441913,175.5435714285714,0.014290059606780902,0.013928319970928138
2020-05-20,MSFT,178.569,177.746,178.742,176.916,32503987.34252,-0.014991654,-4.4525213,0.34294978,297.0,0.013928319970928138,175.46971428571428,0.014729786544491471,-0.012045763822387867
2020-05-21,MSFT,176.418,178.322,179.525,176.282,30277027.444678,-0.025106525,-2.7617178,0.3196678,110.0,-0.012045763822387867,175.66642857142855,0.012433788546990471,0.00044213175526297555
2020-05-22,MSFT,176.496,176.183,177.415,175.549,21654777.805492,-0.02065443,-2.1687152,0.4017431,105.0,0.00044213175526297555,176.251,0.010244414433045287,-0.010617804369504102
2020-05-26,MSFT,174.622,179.203,179.357,174.182,37507553.077336,-0.03052636,-1.6178972,0.38478047,53.0,-0.010617804369504102,176.462,0.011501059376763496,0.0013285840272130311
2020-05-27,MSFT,174.854,173.314,175.033,169.854,41087971.781767,-0.08342142,-7.0908203,0.13794231,85.0,0.0013285840272130311,176.34728571428573,0.009946608816419789,-0.0021675226188706542
2020-05-28,MSFT,174.475,173.83,177.111,173.487,35176654.146365,-0.035111975,-3.9676533,0.27582514,113.0,-0.0021675226188706542,175.9357142857143,0.008852857577810775,0.010127525433443196
2020-05-29,MSFT,176.242,175.735,177.228,173.507,43822072.788218,-0.0694368,-8.1935425,0.15694247,118.0,0.010127525433443196,175.9537142857143,0.009668852644147512,-0.002332020744204022
2020-06-01,MSFT,175.831,175.549,175.998,174.523,23569916.508673,-0.09550609,-4.7753043,0.04404649,50.0,-0.002332020744204022,175.5625714285714,0.007519020548948856,0.01144849315535934
2020-06-02,MSFT,177.844,177.208,177.932,174.425,32018685.296918,-0.03217953,-2.6065419,0.3119884,81.0,0.01144849315535934,175.76628571428571,0.00762446655263624,0.002462832594858577
2020-06-03,MSFT,178.282,177.756,178.821,176.566,28396641.221679,0.04134857,2.4395657,0.7396806,59.0,0.002462832594858577,176.02142857142854,0.007630317891650248,-0.013259891632357745
2020-06-04,MSFT,175.918,177.257,178.733,175.334,29905106.082342,-0.04063635,-3.1696353,0.24502824,78.0,-0.013259891632357745,176.20657142857144,0.008358207925809916,0.023442740367671355
2020-06-05,MSFT,180.042,175.627,180.55,175.051,41479435.783207,-0.056908984,-4.040538,0.31624064,71.0,0.023442740367671355,176.94771428571428,0.011895535906031263,0.00623743348774175
2020-06-08,MSFT,181.165,178.821,181.351,177.396,34531767.532329,-0.012764767,-0.40847254,0.46003386,32.0,0.00623743348774175,177.90342857142855,0.011559721073499793,0.007656004195070842
2020-06-09,MSFT,182.552,180.814,183.402,180.102,30967841.513006,-0.02343683,-1.5233939,0.4386813,65.0,0.007656004195070842,178.80485714285714,0.01142994112852279,0.037074367851351875
2020-06-10,MSFT,189.32,183.81,190.933,183.703,45616274.007046,-0.055026628,-5.8878493,0.31141245,107.0,0.037074367851351875,180.73185714285714,0.01596688734878748,-0.053808366786393336
2020-06-11,MSFT,179.133,185.746,188.277,178.948,54955671.338844,-0.036586065,-3.3293319,0.36656508,91.0,-0.053808366786393336,180.916,0.029112102497702113,0.007960565613259307
2020-06-12,MSFT,180.559,183.245,184.388,178.108,45097709.136537,-0.06078194,-8.691817,0.14566633,143.0,0.007960565613259307,181.24128571428574,0.029219492836218875,0.006441107892711129
2020-06-15,MSFT,181.722,177.522,183.52,176.986,34072979.302992,-0.014490715,-0.6520822,0.43928927,45.0,0.006441107892711129,182.07042857142855,0.028421679190145863,0.024504462860853504
2020-06-16,MSFT,186.175,185.513,188.098,184.134,44248304.627112,-0.011591172,-1.6111729,0.41112447,139.0,0.024504462860853504,182.94657142857142,0.028539090975004854,0.0034268833087147677
2020-06-17,MSFT,186.813,187.562,188.821,186.294,26708925.271494,0.017790426,1.8502042,0.6357032,104.0,0.0034268833087147677,183.7534285714286,0.028541049246700048,0.010748716631069577
2020-06-18,MSFT,188.821,186.585,188.99,186.585,23978359.508797,-0.021004152,-2.0584068,0.32205957,98.0,0.010748716631069577,184.64899999999997,0.028617354417755845,-0.006048056095455445
2020-06-19,MSFT,187.679,191.002,191.654,186.938,46207697.865877,-0.026801785,-2.8141875,0.3767192,105.0,-0.006048056095455445,184.41457142857143,0.02502654693051223,0.027850745155291845
2020-06-22,MSFT,192.906,188.307,193.091,187.758,34123498.581277,-0.014993482,-0.40482402,0.42723805,27.0,0.027850745155291845,186.38214285714284,0.011858554331776752,0.006682010927602011
2020-06-23,MSFT,194.195,194.371,196.138,193.736,32146430.147547,-0.071286894,-14.186092,0.24457906,199.0,0.006682010927602011,188.33014285714285,0.011917440875744516,-0.020180746157212992
2020-06-24,MSFT,190.276,193.903,195.494,189.057,38201105.858969,-0.04929437,-6.112502,0.21256961,124.0,-0.020180746157212992,189.55214285714285,0.016715985767173223,0.012639534150391984
2020-06-25,MSFT,192.681,190.237,192.945,187.993,28909152.256007,-0.016467687,-1.317415,0.4143734,80.0,0.012639534150391984,190.48157142857144,0.015138241479271054,-0.01998121247035267
2020-06-26,MSFT,188.831,192.084,192.242,187.417,56849169.599721,0.002761201,0.22917968,0.52175343,83.0,-0.01998121247035267,190.76985714285712,0.01788436878753654,0.010707987565601096
2020-06-29,MSFT,190.853,188.297,190.943,186.155,27762985.891746,-0.22117294,-13.270376,0.01924665,60.0,0.010707987565601096,191.06014285714286,0.01788093030970784,0.025496062414528398
2020-06-30,MSFT,195.719,190.316,196.578,190.181,35674134.507775,-0.13535792,-18.81475,0.11422496,139.0,0.025496062414528398,192.20871428571428,0.019512856484831906,0.005885989607549602
2020-07-01,MSFT,196.871,195.385,198.465,194.058,33335655.227898,-0.014889715,-2.2632368,0.420721,152.0,0.005885989607549602,192.77514285714284,0.017057583224307456,0.007639520295015467
2020-07-02,MSFT,198.375,197.809,200.066,197.163,30481077.455215,-0.04746181,-5.50557,0.236271,116.0,0.007639520295015467,193.3722857142857,0.017095494292931297,0.02151984877126667
2020-07-06,MSFT,202.644,200.836,203.063,200.134,33165575.500547,-0.12669882,-2.4072776,0.22843497,19.0,0.02151984877126667,195.13914285714284,0.01469904220335721,-0.011621365547462625
2020-07-07,MSFT,200.289,202.398,206.453,200.036,34936378.381461,0.015250758,1.8758433,0.6122625,123.0,-0.011621365547462625,196.22599999999997,0.016485211528409538,0.0220331620807932
2020-07-08,MSFT,204.702,202.027,205.115,200.719,34935642.256276,-0.028796146,-4.578587,0.31464294,159.0,0.0220331620807932,198.49328571428572,0.012836713315285924,0.006888061670135004
2020-07-09,MSFT,206.112,208.075,208.122,203.395,34438284.753035,0.001528984,0.19265199,0.5067216,126.0,0.006888061670135004,200.67314285714286,0.01296477756677482,-0.0030371836671324592
2020-07-10,MSFT,205.486,205.448,205.876,203.013,27218206.159846,-0.004059342,-0.32474738,0.4793034,80.0,-0.0030371836671324592,202.06842857142854,0.01215162034419756,-0.030756353230876998
2020-07-13,MSFT,199.166,206.266,207.556,198.609,39651516.140438,-0.019751523,-0.6518003,0.22257921,33.0,-0.030756353230876998,202.39628571428574,0.01880464734405385,0.00612554351646355
2020-07-14,MSFT,200.386,198.248,200.855,194.313,39086112.617565,-0.029781442,-5.6286926,0.20268929,189.0,0.00612554351646355,202.68357142857144,0.018734993410984745,-0.0014971105765870796
