date,ticker,close,open,high,low,volume
2024-08-06,NVDA,104.234,103.824,107.694,100.534,409075262.0
2024-08-05,NVDA,100.434,92.0458,103.394,90.676,552927763.0
2024-08-02,NVDA,107.254,103.744,108.704,101.354,482101914.0
2024-08-01,NVDA,109.193,117.512,120.142,106.794,523543176.0
2024-07-31,NVDA,117.002,112.882,118.322,110.863,473247265.0
2024-07-30,NVDA,103.714,111.502,111.972,102.524,486908466.0
2024-07-29,NVDA,111.572,113.672,116.262,111.282,248190395.0
2024-07-26,NVDA,113.042,116.172,116.182,111.562,293444389.0
2024-07-25,NVDA,112.262,113.022,116.612,106.284,460138077.0
2024-07-24,NVDA,114.232,119.152,119.932,113.422,327827510.0
2024-07-23,NVDA,122.572,122.761,124.67,122.082,173937844.0
2024-07-22,NVDA,123.52,120.332,124.05,119.842,258108802.0
2024-07-19,NVDA,117.912,120.332,121.582,117.352,217257350.0
2024-07-18,NVDA,121.072,121.832,122.382,116.542,321029106.0
2024-07-17,NVDA,117.972,121.332,121.832,116.702,390146438.0
2024-07-16,NVDA,126.34,128.42,129.02,124.56,214802686.0
2024-07-15,NVDA,128.42,130.54,131.37,127.16,208358340.0
2024-07-12,NVDA,129.22,128.24,131.9,127.2,252719562.0
2024-07-11,NVDA,127.38,135.729,136.129,127.03,374840624.0
2024-07-10,NVDA,134.889,134.01,135.079,132.4,249017024.0
2024-07-09,NVDA,131.36,130.33,133.8,128.63,287065151.0
2024-07-08,NVDA,128.18,127.47,130.75,127.02,237714031.0
2024-07-05,NVDA,125.81,127.36,128.83,125.66,214209769.0
2024-07-03,NVDA,128.26,121.642,128.26,121.342,215782278.0
2024-07-02,NVDA,122.652,121.112,123.39,121.012,218407697.0
2024-07-01,NVDA,124.28,123.45,124.82,118.812,284929535.0
2024-06-28,NVDA,123.52,124.56,127.69,122.732,315565472.0
2024-06-27,NVDA,123.97,124.08,126.39,122.901,252610703.0
2024-06-26,NVDA,126.38,126.11,128.1,122.582,363031980.0
2024-06-25,NVDA,126.07,121.182,126.48,119.302,425853220.0
2024-06-24,NVDA,118.092,123.221,124.44,118.022,476134394.0
2024-06-21,NVDA,126.55,127.1,130.61,124.28,655585905.0
2024-06-20,NVDA,130.76,139.778,140.738,129.5,517848395.0
2024-06-18,NVDA,135.559,131.12,136.309,130.67,294380514.0
2024-06-17,NVDA,130.96,132.97,133.71,129.56,288549004.0
2024-06-14,NVDA,131.86,129.94,132.82,128.3,309368151.0
2024-06-13,NVDA,129.59,129.37,129.78,127.14,260744803.0
2024-06-12,NVDA,125.18,123.041,126.86,122.552,299641274.0
2024-06-11,NVDA,120.892,121.752,122.851,118.722,222585531.0
2024-06-10,NVDA,121.762,120.342,123.071,116.982,314236974.0
2024-06-07,NVDA,120.86,119.742,121.664,117.994,412483362.0
2024-06-06,NVDA,120.97,124.018,125.557,118.292,664853444.0
2024-06-05,NVDA,122.412,118.343,122.421,117.44,528526789.0
2024-06-04,NVDA,116.409,115.688,116.572,114.018,403419428.0
2024-06-03,NVDA,114.973,113.594,114.973,111.976,438495475.0
2024-05-31,NVDA,109.607,112.493,112.69,106.915,613407586.0
2024-05-30,NVDA,110.474,114.623,115.791,109.637,487465627.0
2024-05-29,NVDA,114.798,113.023,115.465,110.875,557573810.0
2024-05-28,NVDA,113.874,110.218,114.912,109.857,652882312.0
2024-05-24,NVDA,106.444,104.424,106.45,102.976,429595279.0
2024-05-23,NVDA,103.774,102.004,106.295,101.496,835262840.0
2024-05-22,NVDA,94.9276,95.4364,95.9973,93.2269,548777789.0
2024-05-21,NVDA,95.3634,93.5769,95.3774,93.1579,329024282.0
2024-05-20,NVDA,94.7576,93.7278,95.1775,93.4179,318839873.0
2024-05-17,NVDA,92.4571,94.3467,94.7176,91.7843,359776125.0
2024-05-16,NVDA,94.3367,94.8876,95.7963,94.0808,324028460.0
2024-05-15,NVDA,94.6076,92.4501,94.8396,91.5774,417834278.0
2024-05-14,NVDA,91.3344,89.5777,91.6294,88.913,296577227.0
2024-05-13,NVDA,90.3777,90.4567,90.9764,88.508,289748702.0
2024-05-10,NVDA,89.8567,90.2832,91.3794,89.206,335404741.0
2024-05-09,NVDA,88.726,90.5077,91.0504,88.2102,378102110.0
2024-05-08,NVDA,90.3907,89.4613,91.1724,89.3989,325798079.0
